State,Area code,Churn
KS,415,False
OH,415,False
NJ,415,False
OH,408,False
OK,415,False
AL,510,False
MA,510,False
MO,415,False
LA,408,False
WV,415,False
IN,415,True
RI,415,False
IA,408,False
MT,510,False
IA,415,False
NY,415,True
ID,408,False
VT,510,False
VA,510,False
TX,415,False
FL,415,False
CO,408,True
AZ,415,False
SC,415,False
VA,510,False
NE,415,False
WY,408,False
MT,408,False
MO,415,False
HI,510,False
IL,415,False
NH,510,False
LA,408,False
AZ,408,True
OK,408,False
GA,415,False
AK,408,False
MA,415,False
AK,415,False
NJ,408,False
GA,408,False
MD,408,True
AR,510,False
ID,415,False
WI,510,False
OR,408,False
MI,415,False
DE,408,False
ID,415,True
WY,415,False
IA,408,False
IN,408,False
VA,408,False
UT,415,False
WY,415,True
IN,408,False
CO,415,False
CO,408,True
WI,415,False
OK,408,False
ID,408,False
CA,415,False
MN,510,False
SD,408,False
NC,408,False
WA,415,False
WY,415,False
MN,408,False
UT,408,False
TX,510,True
NJ,408,False
MN,510,False
NM,510,False
NV,415,False
HI,415,False
MN,415,False
DC,415,True
NY,408,True
MN,415,False
MD,408,False
WV,415,False
OR,415,False
CO,408,False
GA,415,False
TX,510,True
VT,510,False
IN,408,True
WV,510,False
KY,415,False
NJ,415,True
DC,510,False
LA,415,True
AR,415,False
ME,415,False
AZ,415,False
AK,408,False
MT,415,False
AZ,415,False
MS,408,True
ID,415,True
IA,510,False
MA,415,False
VT,415,False
KY,408,False
IN,408,False
AZ,408,False
MI,510,False
NM,510,False
CO,415,False
UT,408,False
MI,408,False
MA,415,False
AL,408,False
DE,408,False
AZ,415,False
ME,510,True
NJ,510,False
NV,415,True
MO,510,False
ID,408,False
NE,408,False
TX,408,False
MD,510,False
MS,415,False
NV,510,False
AZ,408,False
MS,415,True
MS,510,True
TX,408,False
NE,408,False
NE,415,False
CA,408,False
NJ,415,False
TX,408,False
AR,408,False
AL,510,False
NY,415,False
FL,510,False
AK,510,False
NV,415,False
DE,510,False
MD,415,False
MI,415,False
VT,510,False
VT,408,True
MI,415,False
WA,408,False
UT,408,False
LA,408,False
RI,408,False
IA,408,False
NE,415,False
OH,408,False
RI,415,False
OK,415,False
LA,408,False
OH,415,True
VA,510,False
MO,510,False
FL,510,False
SC,415,False
VA,415,False
IA,510,False
MI,415,False
OK,415,False
DE,415,False
GA,510,False
DC,415,False
AZ,408,False
AL,510,False
CO,408,False
NH,408,False
NM,415,False
OR,415,False
LA,408,False
NE,415,False
MN,415,False
MI,415,False
AR,408,False
KS,408,False
WV,510,False
AK,415,True
NY,408,False
NH,408,False
VA,510,False
NM,415,False
NY,408,False
AZ,415,False
WY,510,False
WA,408,False
CO,415,False
TX,415,False
KY,408,False
MT,415,False
OK,408,False
MD,415,False
TN,415,False
TX,510,True
ME,510,True
DC,408,False
MN,415,False
DE,408,False
MD,415,False
MI,510,False
WA,415,False
MO,415,False
IN,415,False
OR,415,False
MD,510,False
RI,510,False
LA,415,False
AZ,510,False
PA,415,False
AZ,408,False
FL,510,True
LA,415,False
